id,2033-1,2033-2,2033-3,2033-4,2033-5,2033-6,2033-7,2033-8,2033-9,2033-10,2033-11,2033-12,2034-1,2034-2,2034-3,2034-4,2034-5,2034-6,2034-7,2034-8,2034-9,2034-10,2034-11,2034-12,Sum,Last 6 Month
faa029c6b0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
ed7a7d91aa,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,0,0,0,1,1,6,1
5608f200cf,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
15b1a0d61e,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
4770051790,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,-1,-1,-1,1,9,0
3fc4f08d9d,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,-1,1,1,1,-1,-1,-1,6,0
1c8b539073,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,19,6
77f961f9b3,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,17,6
9cb79b7700,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
2f95149dc3,0,0,0,1,0,1,0,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,13,4
7e696e1b23,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
4647d230cc,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
64a4b88755,0,0,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,12,5
4f65280858,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
4a98a5cdc1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0
64fa9b16be,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
207cc1c4a7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
06fe79e266,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
71c244bd28,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6
fb6a7c1709,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,17,6
aff06c8624,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,6,0
